# Nodes: 25301 Edges: 426700
# FromNodeId	ToNodeId
3993	8462
3993	10475
3993	7208
3993	6903
3993	31471
3995	34207
3995	5981
3995	12619
3995	8513
3995	7890
3995	7684
3995	20721
3995	12617
3995	17575
3995	8694
3996	34207
3996	5981
3996	12619
3996	8513
3996	7890
3996	7684
3996	20721
3996	12617
3996	17575
3996	8694
3997	3997
3997	10055
3997	21713
3997	22235
3998	3998
3998	4203
3998	5416
3998	5127
3998	4387
3998	8013
3998	4293
3998	5694
3998	8308
3998	4168
3998	21878
3998	21888
3998	4433
3998	13741
3998	4495
3998	31479
3998	15420
3998	4173
3998	6751
3998	15915
3998	4730
3998	5845
3998	30756
3998	4949
3998	4952
3998	8867
3998	12642
3998	6367
3998	13912
3998	5804
3998	9440
3998	26216
3998	6941
3998	23226
3998	5334
3998	4295
3998	21977
3998	5407
3998	13877
3998	4117
3998	4829
3998	5125
3998	7344
3998	13490
3998	5632
3998	11048
3998	10563
3998	7012
3998	7307
3998	10581
3998	5620
3998	9220
3998	6487
3998	5698
3998	8687
3998	15729
3998	11089
3998	8258
3998	4724
3998	21819
3998	7335
3998	10532
3998	5249
3998	4474
3998	39366
3998	22379
3998	16992
3998	10158
3998	13849
3998	12712
3998	11607
3998	6552
3998	4792
3998	5278
3998	4419
3998	6222
3998	5217
3998	13810
3998	5259
3998	3969
3998	4376
3998	6392
3998	6201
3998	31008
3998	7428
3998	17790
3998	21199
3998	5423
3998	4754
3998	9992
3998	20499
3998	37560
3998	9515
3999	34207
3999	5981
3999	12619
3999	8513
3999	7890
3999	7684
3999	20721
3999	12617
3999	17575
3999	8694
4000	4000
4000	12109
4000	6358
4000	6108
4000	17563
4000	6305
4000	7824
4000	8269
4000	11206
4000	6011
4000	13386
4000	9538
4000	15076
4000	6434
4000	7974
4000	31996
4000	9194
4000	8794
4000	6298
4000	9556
4000	21277
4000	21760
4000	9287
4000	6802
4000	7811
4000	25199
4000	5776
4000	6772
4000	9303
4000	7493
4000	11386
4000	4152
4000	12714
4000	6762
4000	12134
4000	16677
4000	8546
4000	4541
4000	10769
4000	7788
4000	4225
4000	19030
4000	5990
4000	6448
4000	6986
4000	9557
4000	8753
4000	20157
4000	6286
4000	19221
4000	13375
4000	4150
4000	7155
4000	4148
4000	23100
4000	6503
4000	21733
4000	7357
4000	5367
4000	7991
4000	20017
4000	10159
4000	6328
4000	10904
4000	4813
4000	5289
4000	5903
4000	10078
4000	6049
4000	36730
4000	6723
4000	6626
4000	7594
4000	4272
4000	11036
4000	5295
4000	4947
4000	25726
4000	4235
4000	34985
4000	6068
4000	7947
4000	9193
4000	9014
4000	10949
4000	5945
4000	6676
4000	15735
4000	6667
4000	18450
4000	8702
4000	6717
4000	25838
4000	8936
4000	7093
4000	6168
4000	30716
4000	4547
4000	4194
4000	9407
4000	4706
4000	6913
4000	11547
4000	39466
4000	8201
4000	5589
4000	6930
4000	16863
4000	14192
4000	9750
4000	7237
4000	6573
4000	6722
4000	5188
4000	21978
4000	11331
4000	10964
4000	11039
4000	4017
4000	4517
4000	4997
4000	4310
4000	5715
4000	14815
4000	4428
4000	4234
4000	6138
4000	7977
4000	7877
4000	15740
4001	4001
4001	14859
4001	18341
4001	11657
4001	15220
4001	18351
4001	25144
4002	4002
4002	4134
4002	8874
4002	10055
4002	8800
4002	21340
4002	5632
4002	9432
4002	32544
4002	10064
4002	5175
4002	18324
4002	4722
4002	10540
4002	14141
4002	5662
4002	21341
4002	4980
4002	13544
4002	14501
4002	5295
4002	7011
4002	5990
4002	9164
4002	4291
4002	5221
4002	11252
4002	9427
4002	6746
4002	32081
4002	10365
4002	4660
4002	11253
4002	6861
4002	32811
4002	6252
4002	5967
4002	6630
4002	7069
4002	20107
4002	24605
4002	16610
4002	8638
4002	12077
4002	5554
4002	7168
4002	37465
4002	18093
4002	4270
4002	4136
4002	6286
4002	16763
4003	4003
4003	11405
4003	15755
4003	8289
4003	12955
4003	6300
4003	12858
4003	17853
4003	15140
4003	17729
4003	15357
4003	5164
4003	13279
4003	5426
4003	6035
4003	5304
4003	22882
4003	9349
4003	6346
4003	6624
4003	33400
4003	7071
4003	6994
4003	7303
4003	5587
4003	4800
4003	5630
4003	4760
4003	8916
4003	9412
4003	32223
4003	7930
4003	8615
4003	33409
4003	10276
4003	16530
4003	8711
4003	8544
4003	14479
4003	5374
4003	7443
4003	12586
4003	9792
4003	21356
4003	10573
4003	35136
4003	9036
4003	8476
4003	27059
4003	8509
4003	5628
4003	14507
4003	16599
4003	5683
4003	4412
4003	5930
4003	7767
4003	13281
4003	6598
4003	8054
4003	37011
4003	13694
4004	4004
4004	7231
4004	7692
4004	7079
4004	6874
4004	5677
