# Directed graph: sicris.txt (Collaboration of researchers on projects)
# Nodes: 11511 Edges: 375488
# FromNodeId	ToNodeId
3961	6791
3961	5669
3961	4077
3961	6505
3961	8438
3961	7128
3961	10018
3961	8852
3961	3959
3961	9642
3961	6568
3961	10720
3961	4591
3961	6330
3961	9545
3961	9640
3961	9300
3961	4075
3961	4076
3961	10017
3963	3963
3963	6339
3963	6338
3963	6707
3963	7310
3963	6679
3963	7608
3963	11486
3963	10615
3963	8319
3963	5205
3963	8906
3963	5381
3963	5302
3963	5371
3963	7312
3963	13432
3963	8990
3963	9335
3963	5718
3964	3964
3964	5865
3964	4777
3964	5864
3964	4753
3964	6819
3964	4776
3964	7480
3964	6589
3964	5044
3964	12130
3964	13865
3964	13447
3964	5713
3964	8483
3964	14053
3964	7420
3964	20532
3964	8288
3964	39196
3964	6276
3964	16748
3964	8602
3964	16774
3964	5273
3964	21318
3964	36550
3964	19376
3964	19395
3964	4639
3964	8996
3964	8977
3964	11650
3964	19021
3964	5193
3964	14045
3964	14557
3964	6992
3964	11758
3964	8177
3964	4549
3964	12903
3964	8329
3964	12189
3964	9358
3964	9249
3964	5353
3964	4774
3964	14560
3964	7278
3964	16647
3964	12231
3964	17775
3964	5159
3964	21404
3964	15654
3964	4013
3964	5458
3964	7538
3964	7641
3964	4634
3964	5278
3964	12631
3964	12958
3964	35707
3964	14499
3964	8580
3964	5704
3964	38276
3964	33708
3964	18352
3964	5718
3964	31351
3964	10816
3964	16643
3964	4826
3966	3966
3966	4836
3966	4376
3966	6999
3966	4515
3966	3970
3966	10263
3966	10264
3966	10265
3966	4330
3966	4194
3966	4317
3966	17588
3966	21429
3966	5948
3966	4373
3966	6088
3966	13222
3966	5875
3966	5513
3966	6090
3966	9591
3966	18254
3966	3969
3966	18264
3966	18253
3966	21313
3966	13104
3966	36169
3966	32464
3966	15878
3966	17010
3966	18911
3966	6223
3966	17612
3966	10715
3966	35109
3966	13068
3966	18242
3966	8019
3966	9592
3966	35819
3966	13910
3966	7659
3966	33364
3966	38857
3966	11298
3966	8021
3967	3967
3967	8771
3967	9593
3967	9524
3967	8066
3967	4853
3967	5617
3968	3968
3968	4748
3968	12044
3968	5729
3968	8119
3968	7366
3968	32777
3968	7365
3968	16817
3968	18977
3968	8398
3968	16018
3968	16014
3968	6760
3968	12403
3968	13590
3968	13469
3968	10753
3968	4749
3968	20488
3968	9111
3969	3969
3969	10263
3969	10264
3969	10265
3969	5948
3969	4836
3969	6088
3969	4317
3969	4515
3969	5875
3969	3970
3969	4330
3969	4376
3969	6999
3969	5513
3969	6090
3969	9591
3969	4373
3969	4194
3969	13222
3969	3966
3969	9592
3969	13910
3969	7659
3969	11298
3970	3970
3970	4836
3970	4376
3970	10263
3970	4330
3970	6999
3970	10265
3970	3966
3970	4515
3970	10264
3970	5948
3970	4373
3970	6088
3970	4194
3970	4317
3970	5875
3970	5513
3970	6090
3970	9591
3970	13222
3970	17588
3970	3969
